,Book_ID,Book Title,Book Subtitle,Book Author,Book Narrator,Audio Runtime,Audiobook_Type,Categories,Rating,Total No. of Ratings,Price
57,58,Untamed,,Glennon Doyle,Glennon Doyle,8 hrs and 22 mins,Unabridged Audiobook,Biographies & Memoirs,4.7,25827.0,$31.50 
58,59,The Invisible Life of Addie LaRue,,V. E. Schwab,Julia Whelan,17 hrs and 10 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.6,13536.0,$46.89 
59,60,The Vanishing Half,A Novel,Brit Bennett,Shayna Small,11 hrs and 34 mins,Unabridged Audiobook,Literature & Fiction,4.5,17012.0,$31.50 
60,61,Brat,An '80s Story,Andrew McCarthy,Andrew McCarthy,4 hrs and 55 mins,Unabridged Audiobook,Biographies & Memoirs,4.4,392.0,$29.65 
61,62,Sooley,A Novel,John Grisham,Dion Graham,10 hrs and 27 mins,Unabridged Audiobook,Literature & Fiction,4.7,2466.0,$31.50 
62,63,Cleaning Up Your Mental Mess,"5 Simple, Scientifically Proven Steps to Reduce Anxiety, Stress, and Toxic Thinking",Dr. Caroline Leaf,Caroline Leaf,8 hrs and 4 mins,Unabridged Audiobook,Health & Wellness,4.4,164.0,$24.49 
63,64,The Mind Illuminated,A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science,Culadasa John Yates PhD,Sean Runnette,16 hrs and 5 mins,Unabridged Audiobook,Health & Wellness,4.6,367.0,$31.49 
64,65,Carl's Doomsday Scenario,"Dungeon Crawler Carl, Book 2",Matt Dinniman,Jeff Hays,11 hrs and 28 mins,Unabridged Audiobook,Literature & Fiction,4.9,737.0,$24.95 
65,66,Zero Fail,The Rise and Fall of the Secret Service,Carol Leonnig,Maggi-Meg Reed,20 hrs and 26 mins,Unabridged Audiobook,Politics & Social Sciences,4.6,225.0,$38.50 
66,67,Boundary Boss,"The Essential Guide to Talk True, Be Seen, and (Finally) Live Free",Terri Cole MSW LCSW,Terri Cole MSW LCSW,7 hrs and 54 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",5,62.0,$14.69 
67,68,The Fifth Realm,"A LitRPG Fantasy Series (The Ten Realms, Book 5)",Michael Chatfield,Todd Menesses,26 hrs and 28 mins,Unabridged Audiobook,Teen,4.7,1575.0,$29.95 
68,69,The Dalai Lama's Cat + The Dalai Lama's Cat: Guided Meditations,,David Michie,David Michie,7 hrs and 14 mins,Unabridged Audiobook,Literature & Fiction,4.7,333.0,$29.84 
69,70,The Midnight Library,A Novel,Matt Haig,Carey Mulligan,8 hrs and 50 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.6,21253.0,$28.00 
70,71,The Never Army,"Chronicles of Jonathan Tibbs, Book 3",T. Ellery Hodges,Steven Barnett,31 hrs and 5 mins,Unabridged Audiobook,Teen,4.9,138.0,$29.95 
71,72,Siege and Storm,,Leigh Bardugo,Lauren Fortgang,11 hrs and 49 mins,Unabridged Audiobook,,4.4,6386.0,$24.95 
72,73,Extreme Ownership,How U.S. Navy SEALs Lead and Win,Jocko Willink,Jocko Willink,9 hrs and 33 mins,Unabridged Audiobook,Business & Careers,4.8,61779.0,$27.99 
73,74,Dune,,Frank Herbert,Scott Brick,21 hrs and 2 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.6,73222.0,$47.93 
74,75,Factfulness,Ten Reasons We're Wrong About the World - and Why Things Are Better Than You Think,Hans Rosling,Richard Harries,8 hrs and 51 mins,Unabridged Audiobook,Health & Wellness,4.6,5490.0,$24.49 
75,76,The Girl Who Was Taken,,Charlie Donlea,Nina Alvamar,10 hrs and 49 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.3,10154.0,$27.99 
76,77,Building a StoryBrand,Clarify Your Message So Customers Will Listen,Donald Miller,Donald Miller,4 hrs and 56 mins,Unabridged Audiobook,Business & Careers,4.8,9528.0,$22.81 
77,78,The Charisma Myth,How Anyone Can Master the Art and Science of Personal Magnetism,Olivia Fox Cabane,Lisa Cordileione,8 hrs and 20 mins,Unabridged Audiobook,Business & Careers,4.3,5313.0,$24.49 
78,79,Redeeming Love,,Francine Rivers,Kate Forbes,17 hrs and 17 mins,Unabridged Audiobook,Literature & Fiction,4.8,8238.0,$39.87 
79,80,Breaking the News,Exposing the Establishment Media's Hidden Deals and Secret Corruption,Alex Marlow,Alex Marlow,10 hrs and 34 mins,Unabridged Audiobook,Politics & Social Sciences,4.9,130.0,$22.67 
80,81,Hillbilly Elegy,A Memoir of a Family and Culture in Crisis,J. D. Vance,J. D. Vance,6 hrs and 49 mins,Unabridged Audiobook,Politics & Social Sciences,4.5,50244.0,$25.09 
81,82,The Alchemist,A Fable About Following Your Dream,Paulo Coelho,Jeremy Irons,4 hrs,Unabridged Audiobook,Literature & Fiction,4.7,61074.0,$23.95 
82,83,The Untethered Soul,The Journey Beyond Yourself,Michael A. Singer,Peter Berkrot,6 hrs and 11 mins,Unabridged Audiobook,Health & Wellness,4.7,20556.0,$24.49 
83,84,"Thinking, Fast and Slow",,Daniel Kahneman,Patrick Egan,20 hrs and 2 mins,Unabridged Audiobook,Business & Careers,4.4,16384.0,$35.00 
84,85,The Seven Husbands of Evelyn Hugo,A Novel,Taylor Jenkins Reid,Alma Cuervo,12 hrs and 10 mins,Unabridged Audiobook,LGBTQ+,4.6,14286.0,$22.67 
85,86,The Comfort Crisis,"Embrace Discomfort to Reclaim Your Wild, Happy, Healthy Self",Michael Easter,Michael Easter,8 hrs and 52 mins,Unabridged Audiobook,Health & Wellness,4.9,223.0,$28.00 
86,87,He Who Fights with Monsters 3,"A LitRPG Adventure (He Who Fights with Monsters, Book 3)",Shirtaloon,Heath Miller,25 hrs and 48 mins,Unabridged Audiobook,Science Fiction & Fantasy,,,$59.99 
87,88,Alpha Male Bible,"Charisma, Psychology of Attraction, Charm. Art of Confidence, Self-Hypnosis, Meditation. Art of Body Language, Eye Contact, Small Talk. Habits & Self-Discipline of a Real Alpha Man.",Sean Wayne,Perdens Studio,12 hrs and 1 min,Unabridged Audiobook,Health & Wellness,4.1,742.0,$24.95 
88,89,Behold a Pale Horse,,Milton William Cooper,Milton William Cooper,2 hrs and 54 mins,Abridged Audiobook,Religion & Spirituality,4.7,1958.0,$6.97 
89,90,Raising Good Humans,"A Mindful Guide to Breaking the Cycle of Reactive Parenting and Raising Kind, Confident Kids",Hunter Clarke-Fields MSAE,Jennifer Gilmour,5 hrs and 37 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.7,100.0,$13.27 
90,91,Beginner's Mind,,Yo-Yo Ma,Yo-Yo Ma,1 hr and 32 mins,,,5 out of 5 stars,55.0,$0.00 
91,92,The Handmaid's Tale: Special Edition,,Margaret Atwood,Claire Danes,12 hrs and 6 mins,Unabridged Audiobook,Literature & Fiction,4.5,33627.0,$29.95 
92,93,People We Meet on Vacation,,Emily Henry,Julia Whelan,10 hrs and 46 mins,Unabridged Audiobook,Literature & Fiction,4.5,761.0,$28.00 
93,94,The Rose Code,A Novel,Kate Quinn,Saskia Maarleveld,15 hrs and 40 mins,Unabridged Audiobook,Literature & Fiction,4.8,5189.0,$34.22 
94,95,Caste (Oprah's Book Club),The Origins of Our Discontents,Isabel Wilkerson,Robin Miles,14 hrs and 26 mins,Unabridged Audiobook,Politics & Social Sciences,4.8,12665.0,$31.50 
95,96,The Richest Man in Babylon,,George S. Clason,Grover Gardner,4 hrs and 4 mins,Unabridged Audiobook,Business & Careers,4.7,19851.0,$14.95 
96,97,The Torch That Ignites the Stars,"Arcane Ascension, Book 3",Andrew Rowe,Nick Podehl,17 hrs and 21 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.7,2238.0,$44.99 
97,98,Empire of the Summer Moon,"Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S. C. Gwynne,David Drummond,15 hrs and 9 mins,Unabridged Audiobook,History,4.7,8627.0,$22.67 
98,99,Is Everyone Hanging Out Without Me? (And Other Concerns),,Mindy Kaling,Mindy Kaling,4 hrs and 37 mins,Unabridged Audiobook,Arts & Entertainment,4.3,15851.0,$21.00 
99,100,Grit,The Power of Passion and Perseverance,Angela Duckworth,Angela Duckworth,9 hrs and 22 mins,Unabridged Audiobook,Business & Careers,4.7,21980.0,$20.99 
100,101,Good to Great,Why Some Companies Make the Leap...And Others Don't,Jim Collins,Jim Collins,10 hrs and 1 min,Unabridged Audiobook,Business & Careers,4.5,14533.0,$36.50 
101,102,21st Birthday,,James Patterson,January LaVoy,8 hrs and 50 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.6,1011.0,$30.79 
102,103,Braiding Sweetgrass,"Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",Robin Wall Kimmerer,Robin Wall Kimmerer,16 hrs and 44 mins,Unabridged Audiobook,History,4.8,4479.0,$34.99 
103,104,Ruin and Rising,,Leigh Bardugo,Lauren Fortgang,10 hrs and 57 mins,Unabridged Audiobook,Teen,4.6,5741.0,$24.95 
104,105,Wiseguy,,Nicholas Pileggi,Ari Fliakos,8 hrs and 15 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,1155.0,$22.67 
105,106,Can't Hurt Me,Master Your Mind and Defy the Odds,David Goggins,David Goggins,13 hrs and 37 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.9,136442.0,$24.95 
106,107,The Push,A Novel,Ashley Audrain,Marin Ireland,8 hrs and 38 mins,Unabridged Audiobook,Literature & Fiction,4.5,4041.0,$28.00 
107,108,Dungeon Walkers 1,,Daniel Schinhofen,Travis Baldree,11 hrs and 22 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.5,33.0,$24.95 
108,109,The Anthropocene Reviewed,Essays on a Human-Centered Planet,John Green,John Green,10 hrs and 3 mins,Unabridged Audiobook,Literature & Fiction,4.9,362.0,$28.00 
109,110,Unfu*k Yourself,Get Out of Your Head and into Your Life,Gary John Bishop,Gary John Bishop,3 hrs and 24 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.6,73022.0,$20.52 
110,111,The Fellowship of the Ring,Book One in The Lord of the Rings Trilogy,J. R. R. Tolkien,Rob Inglis,19 hrs and 7 mins,Unabridged Audiobook,Literature & Fiction,4.8,51180.0,$38.49 
111,112,State of Emergency,How We Win in the Country We Built,Tamika D. Mallory,Tamika D. Mallory,6 hrs and 38 mins,Unabridged Audiobook,Biographies & Memoirs,4.9,128.0,$17.00 
112,113,The Intelligent Investor Rev Ed.,,Benjamin Graham,Luke Daniels,17 hrs and 48 mins,Unabridged Audiobook,Money & Finance,4.6,5605.0,$42.20 
113,114,"Boundaries, Updated and Expanded Edition","When to Say Yes, How to Say No to Take Control of Your Life",John Townsend,Henry O. Arnold,11 hrs and 18 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.6,4473.0,$30.79 
114,115,I Want to Be Where the Normal People Are,,Rachel Bloom,Rachel Bloom,4 hrs and 51 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,641.0,$29.65 
115,116,Herald of Shalia 3,,Tamryn Tamer,Amber Lee Connors,12 hrs and 26 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.9,356.0,$24.95 
116,117,Ten Lessons for a Post-Pandemic World,,Fareed Zakaria,Fareed Zakaria,7 hrs and 24 mins,Unabridged Audiobook,Politics & Social Sciences,4.7,881.0,$22.67 
117,118,The Total Money Makeover,A Proven Plan for Financial Fitness,Dave Ramsey,Dave Ramsey,3 hrs and 41 mins,Abridged Audiobook,Business & Careers,4.7,38683.0,$20.52 
118,119,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",,Timothy Ferriss,Ray Porter,13 hrs and 1 min,Unabridged Audiobook,Business & Careers,4.5,18519.0,$23.07 
119,120,A Thousand Ships,A Novel,Natalie Haynes,Natalie Haynes,8 hrs and 34 mins,Unabridged Audiobook,Literature & Fiction,4.7,336.0,$27.37 
120,121,Humankind,A Hopeful History,Rutger Bregman,Rutger Bregman,11 hrs and 37 mins,Unabridged Audiobook,Health & Wellness,4.8,930.0,$29.65 
121,122,"Your Brain at Work, Revised and Updated","Strategies for Overcoming Distraction, Regaining Focus, and Working Smarter All Day Long",David Rock,Roger Wayne,9 hrs and 24 mins,Unabridged Audiobook,Business & Careers,4.9,50.0,$30.79 
122,123,Killing the Mob,The Fight Against Organized Crime in America,Bill O'Reilly,Robert Petkoff,10 hrs and 5 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,982.0,$27.99 
123,124,48 Laws of Power,,Robert Greene,Richard Poe,23 hrs and 6 mins,Unabridged Audiobook,Politics & Social Sciences,4.6,16175.0,$24.49 
124,125,The Song of Achilles,A Novel,Madeline Miller,Frazer Douglas,11 hrs and 15 mins,Unabridged Audiobook,Literature & Fiction,4.6,21428.0,$30.79 
125,126,The Truth About Covid-19,"Exposing the Great Reset, Lockdowns, Vaccine Passports, and the New Normal",Dr. Joseph Mercola,Nolan Chase,7 hrs and 55 mins,Unabridged Audiobook,Health & Wellness,4.9,201.0,$19.95 
126,127,The Underground Railroad (Television Tie-in),A Novel,Colson Whitehead,Bahni Turpin,10 hrs and 43 mins,Unabridged Audiobook,Literature & Fiction,4.4,14937.0,$28.00 
127,128,Faucian Bargain,The Most Powerful and Dangerous Bureaucrat in American History,Steve Deace,Aaron McIntire,2 hrs and 56 mins,Unabridged Audiobook,Politics & Social Sciences,4.9,497.0,$6.95 
128,129,The Happiness Project,,Gretchen Rubin,Gretchen Rubin,10 hrs and 15 mins,Unabridged Audiobook,Health & Wellness,4.2,4520.0,$30.79 
129,130,The Devil's Hand,A Thriller,Jack Carr,Ray Porter,14 hrs and 37 mins,Unabridged Audiobook,"Mystery, Thriller & Suspense",4.9,5596.0,$23.62 
130,131,Beyond Order,12 More Rules for Life,Jordan B. Peterson,Jordan B. Peterson,13 hrs and 11 mins,Unabridged Audiobook,Health & Wellness,4.9,4478.0,$31.50 
131,132,A Radical Awakening,"Turn Pain into Power, Embrace Your Truth, Live Free",Shefali Tsabary,Shefali Tsabary,15 hrs and 36 mins,Unabridged Audiobook,Health & Wellness,4.7,27.0,$34.22 
132,133,"Influence, New and Expanded",The Psychology of Persuasion,Robert B. Cialdini,Robert B. Cialdini,20 hrs and 43 mins,Unabridged Audiobook,Business & Careers,4.7,23.0,$49.05 
133,134,Noise,A Flaw in Human Judgment,Daniel Kahneman,Jonathan Todd Ross,13 hrs and 28 mins,Unabridged Audiobook,Health & Wellness,4.2,51.0,$35.00 
134,135,Beneath a Scarlet Sky,A Novel,Mark Sullivan,Will Damron,17 hrs and 43 mins,Unabridged Audiobook,Literature & Fiction,4.7,40038.0,$23.99 
135,136,Maverick,A Biography of Thomas Sowell,Jason L. Riley,Brad Sanders,7 hrs and 33 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,12.0,$29.65 
136,137,Don't Drop the Mic,The Power of Your Words Can Change the World,T. D. Jakes,T. D. Jakes,10 hrs and 29 mins,Unabridged Audiobook,Religion & Spirituality,4.7,108.0,$29.65 
137,138,To Kill a Mockingbird,,Harper Lee,Sissy Spacek,12 hrs and 17 mins,Unabridged Audiobook,Literature & Fiction,4.8,37619.0,$30.79 
138,139,Eight Dates,Essential Conversations for a Lifetime of Love,John Gottman PhD,James Patrick Cronin,5 hrs and 9 mins,Unabridged Audiobook,"Relationships, Parenting & Personal Development",4.7,436.0,$19.95 
139,140,The Wizard's Butler,"The Wizard's Butler, Book 1",Nathan Lowell,Tom Taylorson,12 hrs and 10 mins,Unabridged Audiobook,Science Fiction & Fantasy,4.8,917.0,$34.99 
140,141,The Monk Who Sold His Ferrari,A Spiritual Fable About Fulfilling Your Dreams & Reaching Your Destiny,Robin Sharma,Humphrey Bower,6 hrs and 34 mins,Unabridged Audiobook,Literature & Fiction,4.7,1952.0,$29.84 
141,142,Quiet,The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Kathe Mazur,10 hrs and 39 mins,Unabridged Audiobook,Health & Wellness,4.5,17298.0,$28.00 
142,143,Getting Things Done,The Art of Stress-Free Productivity,David Allen,David Allen,10 hrs and 23 mins,Unabridged Audiobook,Business & Careers,4.6,4979.0,$27.99 
143,144,The Big Leap,,Gay Hendricks,Gay Hendricks,5 hrs and 27 mins,Unabridged Audiobook,Business & Careers,4.7,4849.0,$21.67 
144,145,Lord of the Flies,,William Golding,William Golding,6 hrs and 35 mins,Unabridged Audiobook,Teen,4.2,7688.0,$21.00 
145,146,The Color of Law,A Forgotten History of How Our Government Segregated America,Richard Rothstein,Adam Grupper,9 hrs and 32 mins,Unabridged Audiobook,History,4.8,3213.0,$24.95 
146,147,"Harry Potter and the Chamber of Secrets, Book 2",,J.K. Rowling,Jim Dale,9 hrs and 3 mins,Unabridged Audiobook,Children's Audiobooks,4.9,97025.0,$29.99 
147,148,"Harry Potter and the Prisoner of Azkaban, Book 3",,J.K. Rowling,Jim Dale,11 hrs and 49 mins,Unabridged Audiobook,Children's Audiobooks,4.9,87027.0,$29.99 
148,149,Pas de deux,,E. J. Noyes,Abby Craden,10 hrs and 15 mins,Unabridged Audiobook,Romance,4.9,74.0,$24.95 
149,150,Scarlet Feather,,Maeve Binchy,Barbara Caruso,20 hrs and 8 mins,Unabridged Audiobook,Literature & Fiction,4.5,762.0,$38.49 
150,151,"Guns, Germs and Steel",The Fate of Human Societies,Jared Diamond,Doug Ordunio,16 hrs and 20 mins,Unabridged Audiobook,History,4.3,9545.0,$35.00 
151,152,The Boys in the Boat,Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Edward Herrmann,14 hrs and 24 mins,Unabridged Audiobook,Biographies & Memoirs,4.8,33888.0,$33.95 
